"gen","apt","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10"
911,0.001,0,-0.0014,-0.0128,1e-04,5e-04,0.0212,0.0103,0.0154,0.0054,-0.0072
771,6e-04,0.0021,-0.006,-0.0086,-0.0106,-0.0172,-0.0062,0.0025,0.0051,0.0057,-3e-04
1090,7e-04,0.0052,-0.0014,0.0055,-0.0188,4e-04,0.0085,-0.0114,0.0067,-0.0021,0.0056
1288,0.001,0.0015,-0.0123,0.0012,-9e-04,-0.0045,0.0271,-0.0053,-0.007,-0.0034,-0.0067
854,3e-04,-2e-04,8e-04,-0.0034,-0.0031,-0.002,-0.002,3e-04,0.0165,0.0031,7e-04
894,9e-04,0.0108,0.0026,-0.0139,-0.0028,-0.0082,-0.0215,-3e-04,-0.0027,0.0083,0.0045
728,0.001,-0.001,0.009,-0.0076,-0.0202,-0.0021,-4e-04,0.0025,0.0171,0.002,0.0102
993,8e-04,0.0082,-0.004,-0.0023,7e-04,0.0074,0.0052,0.002,-0.0054,0.0243,0.0053
818,8e-04,-0.0094,0.0037,0.0105,-0.0023,-0.0082,-0.0049,0.0052,-0.0114,0.015,0.0085
1331,8e-04,-0.0235,0.0028,-0.0069,0.0115,4e-04,9e-04,0.0018,0.0032,0.0016,-0.0053
939,7e-04,-0.0116,0.0071,-0.0045,0.0126,-0.0057,-0.0077,0.0064,0.012,0.0011,0.0056
1073,0.001,-0.0015,0.0067,0.0072,-0.0047,6e-04,0.0014,-0.0266,0.0094,-0.0084,0.0029
913,8e-04,0.0082,0.0117,0.0018,-0.0143,-0.0065,4e-04,0.0161,-0.0064,0.0051,0.0035
1189,9e-04,0.0052,6e-04,0.0072,-0.0042,-0.0263,-0.006,-0.0054,0.0066,-0.0049,-0.0028
875,7e-04,-0.001,-0.0113,-0.0029,0.0096,-0.0104,2e-04,-0.0086,-0.0104,-0.003,0.0127
935,8e-04,-0.0048,0.0076,-0.0021,0.0024,-0.0198,-0.013,0.0098,-0.0041,6e-04,-0.0069
922,0.001,-4e-04,0.0112,-7e-04,-0.0028,-0.0066,0.0265,-0.0017,-0.0029,-0.01,0.0018
1160,0.001,-0.0239,-0.003,-5e-04,1e-04,-8e-04,-6e-04,-0.0201,0.0029,9e-04,-0.0013
755,7e-04,-0.0014,-0.0101,0.0101,-0.013,0.0041,2e-04,-6e-04,0.0042,-9e-04,0.0169
1075,0.001,3e-04,-9e-04,-0.0249,-5e-04,-0.0166,-0.0011,0.0064,-0.0039,0.0027,0.004
860,9e-04,0.0035,-0.0158,0.0078,0.0082,-0.0195,-0.0031,0.002,0.0013,0.0124,-3e-04
943,0.001,-0.0017,8e-04,0.001,0.0085,5e-04,-0.0044,-0.0121,0.0269,-0.0017,0.0085
1058,9e-04,0.0012,-0.0158,0.0037,-0.0095,-0.0052,0.0075,-0.0038,0.0202,0.0075,0.0039
883,9e-04,-0.0156,-0.005,-3e-04,-0.0031,-0.0031,0.0106,-0.0074,-0.0072,0.0029,-0.0195
837,8e-04,-0.0049,-0.001,0.0103,1e-04,0.002,-0.0211,-0.0124,-3e-04,0.0033,0.0022
1103,9e-04,0.0024,-0.0068,0.0042,0.0237,0.0105,0.0132,-0.0026,0.0033,1e-04,-0.0021
965,0.001,0.0054,0.0102,0.0097,-8e-04,-0.0019,0.0101,-0.0158,0.0187,-0.0031,0.0046
969,0.001,-0.0032,0.0016,-0.011,0.0056,0.0152,-0.0042,0.0117,-0.02,-0.0072,-0.0031
1025,9e-04,0.0073,1e-04,-0.016,0.0068,0.0072,-0.019,4e-04,0.0049,0.0075,0.0047
762,0.001,0.0025,-0.0129,-0.0023,-0.0024,-0.0058,0.0124,-0.0047,0.003,-0.0249,-0.0016
