Nombre,Pelo,Plumas,Huevos,Leche,Volador,Acuatico,Depredador,Dentado,Vertebrado,Respira,Venenoso,Aletas,Patas,Cola,Domestico,catsize,Tipo
aardvark,1,0,0,1,0,0,1,1,1,1,0,0,4,0,0,1,Mamifero
antelope,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,Mamifero
bass,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,Pez
bear,1,0,0,1,0,0,1,1,1,1,0,0,4,0,0,1,Mamifero
boar,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,Mamifero
buffalo,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,Mamifero
calf,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1,Mamifero
carp,0,0,1,0,0,1,0,1,1,0,0,1,0,1,1,0,Pez
catfish,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,Pez
cavy,1,0,0,1,0,0,0,1,1,1,0,0,4,0,1,0,Mamifero
cheetah,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,Mamifero
chicken,0,1,1,0,1,0,0,0,1,1,0,0,2,1,1,0,Ave
chub,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,Pez
clam,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,Invertebrado
crab,0,0,1,0,0,1,1,0,0,0,0,0,4,0,0,0,Invertebrado
crayfish,0,0,1,0,0,1,1,0,0,0,0,0,6,0,0,0,Invertebrado
crow,0,1,1,0,1,0,1,0,1,1,0,0,2,1,0,0,Ave
deer,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,Mamifero
dogfish,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,1,Pez
dolphin,0,0,0,1,0,1,1,1,1,1,0,1,0,1,0,1,Mamifero
dove,0,1,1,0,1,0,0,0,1,1,0,0,2,1,1,0,Ave
duck,0,1,1,0,1,1,0,0,1,1,0,0,2,1,0,0,Ave
elephant,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,Mamifero
flamingo,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,1,Ave
