"RI","Na","Mg","Al","Si","K","Ca","Ba","Fe","Class"
"(1.519,1.524]","(13.5,14.1]","(3.87,4.49]","[0.29,1.405]","(71.3,72.1]","(0.055,0.085]","(8.32,10.4]","[0,0.255]","[0,0.075]",1
"(1.517,1.518]","(13.5,14.1]","(3.34,3.87]","[0.29,1.405]","(72.1,72.9]","(0.085,0.605]","(7.02,8.32]","[0,0.255]","[0,0.075]",1
"(1.516,1.517]","(13.5,14.1]","(3.34,3.87]","(1.405,1.555]","(72.9,73]","(0.085,0.605]","(7.02,8.32]","[0,0.255]","[0,0.075]",1
"(1.517,1.518]","(13,13.5]","(3.34,3.87]","[0.29,1.405]","(72.1,72.9]","(0.085,0.605]","(7.02,8.32]","[0,0.255]","[0,0.075]",1
"(1.517,1.518]","(13,13.5]","(3.34,3.87]","[0.29,1.405]","(73,73.3]","(0.085,0.605]","(7.02,8.32]","[0,0.255]","[0,0.075]",1
"(1.516,1.517]","(12.4,12.9]","(3.34,3.87]","(1.565,1.92]","(72.9,73]","(0.605,1.25]","(7.02,8.32]","[0,0.255]","(0.115,0.36]",1
"(1.517,1.518]","(13,13.5]","(3.34,3.87]","[0.29,1.405]","(73,73.3]","(0.085,0.605]","(7.02,8.32]","[0,0.255]","[0,0.075]",1
"(1.517,1.518]","(13,13.5]","(3.34,3.87]","[0.29,1.405]","(73,73.3]","(0.085,0.605]","(7.02,8.32]","[0,0.255]","[0,0.075]",1
"(1.519,1.524]","(13.5,14.1]","(3.34,3.87]","[0.29,1.405]","(71.3,72.1]","(0.085,0.605]","(7.02,8.32]","[0,0.255]","[0,0.075]",1
"(1.517,1.518]","(13,13.5]","(3.34,3.87]","[0.29,1.405]","(72.9,73]","(0.085,0.605]","(8.32,10.4]","[0,0.255]","(0.105,0.115]",1
"(1.516,1.517]","(12.4,12.9]","(3.34,3.87]","(1.555,1.565]","(73,73.3]","(0.605,1.25]","(7.02,8.32]","[0,0.255]","(0.115,0.36]",1
"(1.517,1.518]","(12.4,12.9]","(3.34,3.87]","[0.29,1.405]","(72.9,73]","(0.085,0.605]","(8.32,10.4]","[0,0.255]","[0,0.075]",1
"(1.516,1.517]","(12.4,12.9]","(3.34,3.87]","[0.29,1.405]","(73.3,75.4]","(0.605,1.25]","(7.02,8.32]","[0,0.255]","(0.115,0.36]",1
"(1.517,1.518]","(12.4,12.9]","(3.34,3.87]","[0.29,1.405]","(73,73.3]","(0.085,0.605]","(8.32,10.4]","[0,0.255]","(0.115,0.36]",1
"(1.517,1.518]","(12.4,12.9]","(3.34,3.87]","[0.29,1.405]","(73.3,75.4]","(0.085,0.605]","(8.32,10.4]","[0,0.255]","[0,0.075]",1
"(1.517,1.518]","(12.4,12.9]","(3.34,3.87]","[0.29,1.405]","(73,73.3]","(0.085,0.605]","(8.32,10.4]","[0,0.255]","[0,0.075]",1
"(1.517,1.518]","(12.4,12.9]","(3.34,3.87]","[0.29,1.405]","(73,73.3]","(0.605,1.25]","(8.32,10.4]","[0,0.255]","[0,0.075]",1
"(1.519,1.524]","(14.1,17.4]","(3.34,3.87]","[0.29,1.405]","(71.3,72.1]","(0.085,0.605]","(8.32,10.4]","[0,0.255]","[0,0.075]",1
"(1.519,1.524]","(13.5,14.1]","(3.34,3.87]","[0.29,1.405]","(71.3,72.1]","(0.055,0.085]","(8.32,10.4]","[0,0.255]","[0,0.075]",1
"(1.517,1.518]","(13,13.5]","(3.34,3.87]","(1.565,1.92]","(72.1,72.9]","(0.085,0.605]","(8.32,10.4]","[0,0.255]","[0,0.075]",1
"(1.517,1.518]","(12.4,12.9]","(3.34,3.87]","(1.405,1.555]","(72.1,72.9]","(0.085,0.605]","(8.32,10.4]","[0,0.255]","(0.115,0.36]",1
